Date,Location,Flight & Transit Details,Accommodation (2 Rooms),Activity,Total Cost,Booking Notes,itinerary
"Tue, June 30",Transit,"Flight from Dublin to Singapore (via Doha)
Flight QR20: DUB → DOH (08:15). QR948: DOH → SIN (02:35-15:45).
Qatar Airways
Doha layover: Oryx Airport Hotel",Oryx Airport Hotel,,"€4,245.25","Flight Details: Qatar Airways Economy (25kg baggage). 07:05h leg followed by 08:10h leg.
Extra leg room for 2nd leg.
Flights €3,832.88. Doha layover: Booked and paid for on Booking.com (€412.37).","06:00 AM: Fast Track T1 & Phoenix Lounge Dublin Airport - booked & paid for

08:15 AM: Flight QR20 DUB → DOH

Doha layover: Oryx Airport Hotel — hotel stay in terminal for long layover.

02:35 AM: Flight QR948 DOH → SIN (arr. 15:45)

15:45 PM: Land Changi T1.

16:30-17:30 PM: Immigration/bags/customs. See Jewel Changi Airport

17:30-18:30 PM: MRT (Changi Airport → Chinatown/Clarke Quay, ~1h SGD2-4pp) or Grab (~20-30min SGD25-35 family)."
"Wed, July 1",Singapore,Arrive SIN 15:45. Local Grab/MRT to Bugis.,"Furama City Centre, 60 Eu Tong Sen Street, Singapore 059804",,€261.88,Booked and paid,"18:30 PM+: Check-in Furama (pool if open till 10 PM, unwind).

19-21 PM: Maxwell Food Centre hawker dinner nearby (~SGD20pp; chicken rice/oyster omelette).

Evening: Relax, light Chinatown night walk"
"Thu, July 2",Singapore,Grab to Marina Bay Sands,Marina Bay Sands,,"€1,131.01","Booked, not yet paid. ","8-9 AM: Furama breakfast.

9:30-11 AM: MRT/Grab to MBS (~10min SGD5-10), SkyPark Observation Deck first (open 9:30AM; 30-45min, SGD32/adult; 360° views). Confirm keycard access.

11 AM-Noon: Concierge bag storage.

12-1 PM: Rasapura Masters B2 lunch (Alis Grill pizza, burgers SGD40-60 total).

1-3 PM: Shoppes mall stroll to Merlion Park/promenade (20min walk).

3 PM: MBS check-in (pool unlocks).

3-5 PM: Infinity Pool lounging

5-6 PM: Pool dips/jacuzzi.

6-7:30 PM: Lau Pa Sat hawker dinner (~SGD25-35pp; satay/seafood).

7:45 PM: Watch the "Garden Rhapsody" light and sound show at Gardens by the Bay — Supertree Grove (~10-15 min).

8:45 PM: Watch the repeat show from our room."
"Fri, July 3",Singapore,Check out 11:00; Move to Furama Hotel. Local transit within Sentosa/Harbourfront.,"Furama City Centre, 60 Eu Tong Sen Street, Singapore 059804",,€809.54,Booked and paid for on credit card,"11 AM: MBS checkout, bag storage; walk to Gardens by the Bay (6 min).

11 AM-2:30 PM: Gardens by the Bay (spend most of the day here) — Cloud Forest/Flower Dome (Jurassic combo SGD48/adult), OCBC Skyway (SGD14), outdoor gardens & Supertrees photos (free), Satay by the Bay lunch (SGD15pp).

3:00 PM: Check-in at Furama, settle.

3:30-5 PM: Chinatown (Peranakan shophouses, Ann Siang Hill, Pagoda St temples/markets).

5:30-7 PM: Lau Pa Sat hawker dinner (SGD25-35).

Evening: MRT to Brewerkz (craft beers), Haji Lane (vintage shopping)."
"Sat, July 4",Singapore,,"Furama City Centre, 60 Eu Tong Sen Street, Singapore 059804",Universal Studios,€213.86,Booked and paid Universal tickets for on Klook,"Universal Studios Singapore

7:30-8 AM: Furama breakfast.

8-9:30 AM: MRT HarbourFront, cable car Sky Pass (SGD35/adult) to USS.

9:30 AM-4 PM: Rides (Sci-Fi/Transformers/Mummy; Jurassic Rapids/Puss/WaterWorld lunch SGD15; Far Far Away/Minions/Hollywood).

4-6 PM: Harry Potter on Sentosa — Harry Potter: Visions of Magic at Resorts World Sentosa (short walk from USS).

6-7 PM: Sentosa Express/bus to Palawan Beach (SGD1, rope bridge/sand relax).

7-8 PM: MRT/Grab back Furama (30 min), dinner/pool."
"Sun, July 5",Singapore,,"Furama City Centre, 60 Eu Tong Sen Street, Singapore 059804",,,,"8-9:30 AM: Furama breakfast, MRT to Little India.

9:30-11 AM: Little India highlights—Tekka Centre (spices, sweets SGD5-10), Sri Veeramakaliamman Temple (statues/photos, free), Serangoon Rd murals/shops.

11:00 AM: Raffles Long Bar right at opening to beat the queue (walk-in only, no reservations; Sun 11am-10:30pm last seating). Birthplace of the Singapore Sling (SGD35)—toss your peanut shells on the floor! Avoid the 4-7 PM rush.

12:30 PM: Lunch at Lau Pa Sat (SGD40 crayfish).

2-4:30 PM: Fort Canning Park (Tree Tunnel photos, Jubilee playground, Spice Garden; skip Battle Box if tired).

Evening: Back to Furama, dinner/pool; optional Clarke Quay riverside stroll."
"Mon, July 6",Koh Samui,"Flight from Singapore to Koh Samui
Flight PG968: 17.20-18.15 on Bangkok Airways
Private Minibus Transfer from airport","Nora Buri - 2x pool villas with hilltop view. Breakfast included.",,"€3,233.24","Flight €641.57. 4 cabin bags: 23 x 36 x 50 cm · Max weight 7 kg. 4 checked bags: Max weight 20 kg. 4 seats selected: 18D, 18A, 18C, 18B.
Transfer: Booked and paid for return journey on Hoppa (€23.67). Ref G2561395.
Stay: Booked and paid for on credit card (€2,568.00).","8-9:30 AM: Furama breakfast, pack up.

11:00 AM: Check out of Furama (checkout time is 11 AM); store bags at reception if needed.

11:30 AM-1:30 PM: Last Chinatown wander / lunch nearby.

1:30 PM: MRT/train to Changi Airport (Chinatown → Tanah Merah change → Changi, ~1h; SGD2-4pp). Allow buffer for bags.

2:30-3:45 PM: Explore Jewel Changi Airport (HSBC Rain Vortex waterfall, Shiseido Forest Valley).

3:45 PM: Check in for PG968 (17:20 departure).

17:20: Flight PG968 SIN → USM (Bangkok Airways).

18:15: Land Koh Samui. Airport meet and greet; private minibus to Nora Buri (Hoppa ref G2561395).

19:00+: Check-in/pool; dinner Barge (€26 family).

Happy hour 16:00-19:00 (cocktails €4-7, beers €2-3).

Optional Village intro."
"Tue, July 7",Koh Samui,,Nora Buri - 2x pool villas with hilltop view. Breakfast included.,,,,"Fisherman's Village + Overlap Stone (Timed Schedule)
08:00-09:00: Nora Buri breakfast.

09:30-11:30: Overlap Stone hike (Lamai; 15min Grab from Nora ~300 THB / €8 family).
Entry 100-200 THB / €3-€5 PP Stone 1 (photo slot/drink); Stone 2 +50-200 THB / €1-€5; 1hr moderate trail (shoes/water).- €20 family; early low crowds.

15:00: Fisherman's Village (~10min Grab) - stroll around

17:00: : Coco Tam's fire show  - Fire show is 7:15pm, get there at 5pm

Market shops (Sophie/Ava).

Lucky beer (€6-€10 pints, happy hour)."
"Wed, July 8",Koh Samui,,Nora Buri - 2x pool villas with hilltop view. Breakfast included.,,€90.33,"Booked elephant experience & paid for on Klook. 

Booked the Jungle Club for 6pm.","Samui Elephant Home Feeding Experience
Morning Session(11:00-12:00)
Includes round-trip transfers to and from the hotel 

Afternoon pool recovery.

18:00 - Dinner at The Jungle Club - booked"
"Thu, July 9",Koh Samui,,Nora Buri - 2x pool villas with hilltop view. Breakfast included.,,€177.84,Booked & paid for on Klook,"Pig Island Tour
08:00: Pickup included - Koh Samui Island Hopping & Relaxing Tour: Coral and Pig Island – Full Day(Small Group Tour with Entrance Fees and Hotel Pickup)
15:00: Return to hotel


15:00-17:00: Pool relax.

"
"Fri, July 10",Koh Samui,,Nora Buri - 2x pool villas with hilltop view. Breakfast included.,,,,Free day
"Sat, July 11",Koh Samui,,Nora Buri - 2x pool villas with hilltop view. Breakfast included.,,,,"Chill Day at hotel & Lamai beach

16:00-19:00: Pool happy hour (€4 cocktails).
"
"Sun, July 12",Bangkok,"Private minibus transfer from hotel to airport
Flight from Koh Samui to Bangkok (BKK airport)
Flight PG106: 08:45am-10:00am
Bangkok Airways
Private minibus transfer from airport to hotel.","The Berkeley Hotel Pratunam, 559 Ratchathewi, Pratunam, Bangkok, Thailand, 1040",Dinner at Bubble Forest Cafe,€1,012.13,"Flight €483.00. 4 cabin bags: 23 x 36 x 50 cm · Max weight 7 kg. 4 checked bags: Max weight 20 kg. 4 seats selected: 23A, 23B, 23C, 23D.
Hotel transfer to airport: Hoppa ref G2561395.
Airport transfer to hotel: Hoppa ref G2561422 (€48.70).
Hotel €440.43 — booked, not yet paid. Family Bunk Bed Room. Breakfast included.
Bubble Forest Cafe dinner: Klook €40.00 (300 THB food/drink vouchers each).","05:32 AM: Pickup from Nora Buri; private minibus to Koh Samui airport (Hoppa ref G2561395).

08:45-10:00 AM: Flight PG106 USM → BKK (Bangkok Airways).

10:00 AM: Land Bangkok. Airport pickup; private minibus to hotel (Hoppa ref G2561422).

11:30 AM: Check in (early check-in likely available), freshen up

1:00 PM: Lunch at hotel or nearby (Pratunam has excellent street food)

3:00 PM: Pratunam Market exploration (literally steps from your hotel!) Browse vintage clothes, fake designer items (belts, jerseys 300-800 THB / €8.22-€21.92), and general shopping. Negotiate prices by offering 50-65% of asking price. Bring cash for best prices.


Note: use the OneSiam discount card (downloaded for free at https://mail.google.com/mail/u/0/#inbox/FMfcgzQgLXxjSVXTsgQFSKcLlBCnJzlb) to get 25% off Grab, and discounts on shopping and food.

6:00 PM: Bubble Forest Cafe — booking (not using set menu)."
"Mon, July 13",Bangkok,,"The Berkeley Hotel Pratunam, 559 Ratchathewi, Pratunam, Bangkok, Thailand, 1040",,,,"9:00 AM: Hotel breakfast

10:00 AM: Pop Mart at ICONSIAM (7th floor) World's largest Pop Mart Global Landmark Store—perfect for collectible shopping! Standard blind boxes 300-800 THB (€8.22-€21.92); premium/limited edition 800-2,000 THB (€21.92-€54.79). Expect 1-2 hour waits; arrive early. Address: 299 Charoen Nakhon Rd. Grab from hotel ~20-30 min (100-150 THB / €2.74-€4.11).

1:00 PM: ICONSIAM has extensive dining (Thai, international options)

3:00 PM: Sephora shopping - Central World or ICONSIAM Browsing makeup and skincare. Pricing: Standard beauty products 1,000-1,500 THB (€27.40-€41.10); premium skincare 1,500-3,000 THB (€41.10-€82.19). Sephora in Bangkok typically 30-50% more expensive than US prices. CentralWorld is Bangkok's premier shopping mall (~15 min Grab from ICONSIAM, 100-150 THB / €2.74-€4.11).

5:15 PM: Grab to King Power Mahanakhon (~10 min from CentralWorld, 80-120 THB / €2.19-€3.29)

5:30-7:15 PM: Mahanakhon SkyWalk for sunset — rooftop observation deck and glass floor (King Power Mahanakhon, 114 Narathiwas Rd). Arrive before ~6:30 PM sunset. Tickets ~880-1,080 THB/adult (~€24-€30); book ahead if possible.

7:30 PM: Dinner near Silom/Sathorn or Grab back to Pratunam (~15-20 min)"
